vertical,leadAgeBracket,exclusivity,leadType,targetMonth,providerName,priceLow,priceHigh,sourceUrl,observedDate,notes
auto-insurance,real-time,exclusive,internet-form,2026-08,,,,,,"prior 2026-04: $50-$100 (median $75, n=4)"
auto-insurance,real-time,exclusive,internet-form,2026-08,,,,,,
auto-insurance,real-time,exclusive,internet-form,2026-08,,,,,,
auto-insurance,real-time,shared,internet-form,2026-08,,,,,,"prior 2026-04: $20-$45 (median $32, n=5)"
auto-insurance,real-time,shared,internet-form,2026-08,,,,,,
auto-insurance,real-time,shared,internet-form,2026-08,,,,,,
debt-settlement,31-85-days,shared,internet-form,2026-08,,,,,,"prior 2026-04: $1-$8 (median $4, n=3)"
debt-settlement,31-85-days,shared,internet-form,2026-08,,,,,,
debt-settlement,31-85-days,shared,internet-form,2026-08,,,,,,
debt-settlement,real-time,shared,internet-form,2026-08,,,,,,"prior 2026-04: $20-$50 (median $35, n=3)"
debt-settlement,real-time,shared,internet-form,2026-08,,,,,,
debt-settlement,real-time,shared,internet-form,2026-08,,,,,,
final-expense,31-85-days,exclusive,direct-mail,2026-08,,,,,,"prior 2026-04: $8-$25 (median $15, n=3)"
final-expense,31-85-days,exclusive,direct-mail,2026-08,,,,,,
final-expense,31-85-days,exclusive,direct-mail,2026-08,,,,,,
final-expense,real-time,exclusive,internet-form,2026-08,,,,,,"prior 2026-04: $30-$50 (median $40, n=4)"
final-expense,real-time,exclusive,internet-form,2026-08,,,,,,
final-expense,real-time,exclusive,internet-form,2026-08,,,,,,
final-expense,real-time,exclusive,live-transfer,2026-08,,,,,,"prior 2026-04: $50-$80 (median $65, n=3)"
final-expense,real-time,exclusive,live-transfer,2026-08,,,,,,
final-expense,real-time,exclusive,live-transfer,2026-08,,,,,,
final-expense,real-time,shared,internet-form,2026-08,,,,,,"prior 2026-04: $15-$30 (median $22, n=5)"
final-expense,real-time,shared,internet-form,2026-08,,,,,,
final-expense,real-time,shared,internet-form,2026-08,,,,,,
health-insurance,real-time,exclusive,internet-form,2026-08,,,,,,"prior 2026-04: $50-$100 (median $75, n=3)"
health-insurance,real-time,exclusive,internet-form,2026-08,,,,,,
health-insurance,real-time,exclusive,internet-form,2026-08,,,,,,
